fok	dB
0	0
1	-0.002929168
2	-0.01063294
3	-0.02321894
4	-0.04080238
5	-0.06351013
6	-0.09147749
7	-0.1248507
8	-0.1637889
9	-0.2084632
10	-0.2590596
11	-0.3157779
12	-0.3788367
13	-0.4484083
14	-0.5244298
15	-0.6067837
16	-0.6953592
17	-0.7900508
18	-0.8907586
19	-0.9973849
20	-1.109837
21	-1.22802
22	-1.351843
23	-1.481214
24	-1.616038
25	-1.75622
26	-1.90166
27	-2.05225
28	-2.207881
29	-2.368432
30	-2.533774
31	-2.703766
32	-2.878255
33	-3.057072
34	-3.240031
35	-3.437048
36	-3.638637
37	-3.845017
38	-4.056419
39	-4.273096
40	-4.495316
41	-4.723371
42	-4.957577
43	-5.198272
44	-5.445827
45	-5.700646
46	-5.963167
47	-6.233871
48	-6.513283
49	-6.800629
50	-7.097807
51	-7.405515
52	-7.724525
53	-8.055699
54	-8.400003
55	-8.75852
56	-9.132475
57	-9.523256
58	-9.93245
59	-10.36188
60	-10.81365
61	-11.29021
62	-11.79445
63	-12.32977
64	-12.97226
65	-13.66609
66	-14.4202
67	-15.24607
68	-16.15878
69	-17.17879
70	-18.33472
71	-19.66844
72	-20.25674
73	-20.88779
74	-21.56831
75	-22.30672
76	-23.11378
77	-24.00358
78	-24.99505
79	-26.11445
80	-25.6572
81	-25.22417
82	-24.81427
83	-24.42653
84	-24.06006
85	-23.71408
86	-23.38789
87	-23.08085
88	-22.79243
89	-22.52214
90	-22.26958
91	-22.03439
92	-21.81629
93	-21.61507
94	-21.43057
95	-21.26268
96	-21.11136
97	-20.97664
98	-20.85862
99	-20.75744
100	-20.67334
101	-20.60638
102	-20.55571
103	-20.52034
104	-20.49938
105	-20.49204
106	-20.49756
107	-20.51527
108	-20.54454
109	-20.58477
110	-20.6354
111	-20.6959
112	-20.76574
113	-20.84441
114	-20.93141
115	-21.02625
116	-21.1284
117	-21.23737
118	-21.3526
119	-21.47356
120	-21.59965
121	-21.73028
122	-21.86479
123	-22.00251
124	-22.1427
125	-22.28459
126	-22.42733
127	-22.57005
128	-22.7118
129	-22.85155
130	-22.98825
131	-23.12076
132	-23.24807
133	-23.3699
134	-23.48616
135	-23.59677
136	-23.70166
137	-23.80079
138	-23.89412
139	-23.98163
140	-24.06331
141	-24.13918
142	-24.20925
143	-24.27356
144	-24.33218
145	-24.38516
146	-24.4326
147	-24.47459
148	-24.51124
149	-24.54267
150	-24.56903
151	-24.59044
152	-24.60708
153	-24.6191
154	-24.62669
155	-24.63002
156	-24.62928
157	-24.62467
158	-24.61639
159	-24.60464
160	-24.58962
161	-24.57155
162	-24.55064
163	-24.5271
164	-24.50113
165	-24.47297
166	-24.44281
167	-24.41086
168	-24.37734
169	-24.34245
170	-24.30639
171	-24.26936
172	-24.23157
173	-24.1932
174	-24.15445
175	-24.11551
176	-24.07656
177	-24.08872
178	-24.1009
179	-24.1131
180	-24.12531
181	-24.13754
182	-24.14979
183	-24.16206
184	-24.17434
185	-24.18664
186	-24.19896
187	-24.21129
188	-24.22364
189	-24.23601
190	-24.2484
191	-24.26081
192	-24.27323
193	-24.28567
194	-24.29813
195	-24.3106
196	-24.3231
197	-24.33561
198	-24.34814
199	-24.36069
200	-24.37326
201	-24.38584
202	-24.39845
203	-24.41107
204	-24.42371
205	-24.43637
206	-24.44904
207	-24.46174
208	-24.47445
209	-24.48719
210	-24.49994
211	-24.51271
212	-24.1017
213	-23.71001
214	-23.33665
215	-22.98074
216	-22.64148
217	-22.31815
218	-22.01011
219	-21.71678
220	-21.43762
221	-21.17217
222	-20.92001
223	-20.68075
224	-20.45406
225	-20.23964
226	-20.03722
227	-19.8466
228	-19.66756
229	-19.49994
230	-19.34363
231	-19.19851
232	-19.06451
233	-18.9416
234	-18.82976
235	-18.72901
236	-18.6394
237	-18.56102
238	-18.49397
239	-18.43842
240	-18.39454
241	-18.36257
242	-18.34278
243	-18.33549
244	-18.34093
245	-18.35883
246	-18.38884
247	-18.43065
248	-18.484
249	-18.54866
250	-18.62444
251	-18.71117
252	-18.80874
253	-18.91704
254	-19.03599
255	-19.16556
256	-19.30572
257	-19.45646
258	-19.61782
259	-19.78983
260	-19.97257
261	-20.16611
262	-20.37056
263	-20.58605
264	-20.81273
265	-21.05075
266	-21.30031
267	-21.5616
268	-21.83484
269	-22.12028
270	-22.41815
271	-22.72874
272	-23.05232
273	-23.38919
274	-22.44528
275	-21.59396
276	-20.81868
277	-20.10697
278	-19.44918
279	-18.83772
280	-18.26649
281	-17.73052
282	-17.2257
283	-16.74863
284	-16.29639
285	-15.86655
286	-15.45697
287	-15.06584
288	-14.34653
289	-13.68226
290	-13.0652
291	-12.48908
292	-11.94882
293	-11.44019
294	-10.95971
295	-10.50443
296	-10.07182
297	-9.659741
298	-9.272342
299	-8.90163
300	-8.546376
301	-8.205485
302	-7.877989
303	-7.563018
304	-7.259794
305	-6.967617
306	-6.685853
307	-6.413927
308	-6.151319
309	-5.897553
310	-5.652195
311	-5.414846
312	-5.185142
313	-4.962745
314	-4.747347
315	-4.538661
316	-4.336423
317	-4.140385
318	-3.950297
319	-3.765926
320	-3.587057
321	-3.413487
322	-3.245028
323	-3.081504
324	-2.922754
325	-2.768623
326	-2.618968
327	-2.473659
328	-2.332566
329	-2.195576
330	-2.062577
331	-1.933467
332	-1.808149
333	-1.686531
334	-1.56853
335	-1.454097
336	-1.343306
337	-1.23626
338	-1.133058
339	-1.033798
340	-0.9385708
341	-0.8474714
342	-0.7605916
343	-0.6780229
344	-0.5998568
345	-0.5261869
346	-0.4571086
347	-0.3927183
348	-0.3331167
349	-0.278408
350	-0.2286987
351	-0.1840676
352	-0.1444553
353	-0.1097784
354	-0.07996145
355	-0.0549385
356	-0.03465084
357	-0.0190496
358	-0.008092621
359	-0.001745363
